id,team,name,url
300,ARI Diamondbacks,亞歷桑那響尾蛇,https://i.imgur.com/pp3nO6E.png
301,ATL Braves,亞特蘭大勇士,https://i.imgur.com/9sd8Lsg.png
302,BAL Orioles,巴爾地摩金鶯,https://i.imgur.com/PuJJByn.png
303,BOS Red Sox,波士頓紅襪,https://i.imgur.com/Eo3mcSM.png
304,CHI Cubs,芝加哥小熊,https://i.imgur.com/jgnxLv0.png
305,CHI White Sox,芝加哥白襪,https://i.imgur.com/7NTnn9v.png
306,CIN Reds,辛辛那堤紅人,https://i.imgur.com/7eKOZ6E.png
307,CLE Guardians,克里夫蘭守護者,https://i.imgur.com/YdpMExA.png
308,COL Rockies,科羅拉多落磯山,https://i.imgur.com/6Zhjz0B.png
309,DET Tigers,底特律老虎,https://i.imgur.com/lFYmllG.png
310,HOU Astros,休士頓太空人,https://i.imgur.com/E7LgHhb.png
311,KC Royals,堪薩斯皇家,https://i.imgur.com/niN2lbB.png
312,LA Angels,洛杉機天使,https://i.imgur.com/u27xjUF.png
313,LA Dodgers,洛杉磯道奇,https://i.imgur.com/kixRxaK.png
314,MIA Marlins,邁阿密馬林魚,https://i.imgur.com/kge1Gfj.png
315,MIL Brewers,密爾瓦基釀酒人,https://i.imgur.com/GocJuve.png
316,MIN Twins,明尼蘇達雙城,https://i.imgur.com/VINyO4h.png
317,NY Mets,紐約大都會,https://i.imgur.com/GBlpgRA.png
318,NY Yankees,紐約洋基,https://i.imgur.com/0ZruyPQ.png
319,OAK Athletics,奧克蘭運動家,https://i.imgur.com/UscT8OV.png
320,PHI Phillies,費城費城人,https://i.imgur.com/dYLJjd2.png
321,PIT Pirates,匹茲堡海盜,https://i.imgur.com/pV0xwGV.png
322,SD Padres,聖地牙哥教士,https://i.imgur.com/nD4CP09.png
323,SEA Mariners,西雅圖水手,https://i.imgur.com/8bapzHs.png
324,SF Giants,舊金山巨人,https://i.imgur.com/JWW9UJD.png
325,STL Cardinals,聖路易紅雀,https://i.imgur.com/N3rfgnR.png
326,TB Rays,坦帕灣光芒,https://i.imgur.com/mHmoYjn.png
327,TEX Rangers,德州遊騎兵,https://i.imgur.com/tFLNefH.png
328,TOR Blue Jays,多倫多藍鳥,https://i.imgur.com/b7pzj4Y.png
329,WAS Nationals,華盛頓國民,https://i.imgur.com/LuO1SXs.png
